topic,keywords
Comminution,"comminution, grinding, crushing, SAG mill, AG mill, ball mill, stirred mill, ultrafine grinding, HPGR, high-pressure grinding rolls, size reduction, breakage, fragmentation, milling circuit, ore breakage, energy efficiency"
Flotation,"flotation, froth flotation, flotation cells, mechanical cells, column flotation, Jameson cell, flotation circuit, reagents, collectors, frothers, depressants, activators, air dispersion, bubble size, bubble-particle attachment, hydrophobicity, flotation kinetics, rougher, cleaner, scavenger, flotation modelling, flotation modeling"
Hydrometallurgy,"hydrometallurgy, leaching, heap leaching, dump leaching, bioleaching, bacterial leaching, pressure leaching, autoclave, solvent extraction, SX, ion exchange, electrowinning, EW, precipitation, pregnant leach solution, PLS, impurity removal, adsorption, resin-in-pulp, resin-in-solution"
Pyrometallurgy,"pyrometallurgy, smelting, roasting, flash smelting, electric furnace, matte, slag, converter, converter slag, refining, high-temperature processing, reduction, oxidation, calcination, kiln, off-gas, furnace lining"
Geometallurgy & Ore Characterisation,"geometallurgy, geometallurgical modelling, geometallurgical modeling, ore characterization, ore characterisation, ore variability, mineralogy, process mineralogy, liberation, mineral liberation, texture, QEMSCAN, MLA, hyperspectral, drill core, ore hardness, Bond work index, JK drop weight, SMC test, Axb, ore domaining"
Mineral Processing Modelling & Simulation,"modelling, modeling, simulation, phenomenological models, process models, population balance, PBM, DEM, discrete element method, CFD, computational fluid dynamics, FEM, multiphase flow, circuit simulation, plant simulation, dynamic simulation, steady-state simulation, process simulator, digital twin, model calibration, parameter estimation"
Automation & Control,"process control, advanced control, model predictive control, MPC, APC, PID control, regulatory control, setpoint optimisation, setpoint optimization, supervisory control, plantwide control, SCADA, DCS, PLC, soft sensors, virtual sensors, state estimation, Kalman filter, fault detection, fault diagnosis, alarm management, control performance assessment, autonomous operation, decision support, real-time optimisation, real-time optimization"
Data Science & AI,"machine learning, artificial intelligence, AI, deep learning, neural networks, convolutional neural networks, recurrent neural networks, random forest, gradient boosting, XGBoost, support vector machine, SVM, clustering, anomaly detection, outlier detection, predictive maintenance, time-series forecasting, surrogate models, Bayesian optimisation, Bayesian optimization, feature engineering, data-driven modelling, data-driven modeling, big data, process data analytics, reinforcement learning, RL"
ESG & Sustainability,"sustainability, ESG, decarbonisation, decarbonization, net zero, low-carbon, life cycle assessment, LCA, energy efficiency, water efficiency, water footprint, greenhouse gas, GHG emissions, carbon footprint, circular economy, mine closure, rehabilitation, reclamation, biodiversity, social license to operate, social licence to operate, community engagement, responsible mining, critical minerals, environmental impact assessment"
Equipment & Operations,"equipment design, mill liners, grinding media, crushers, jaw crusher, cone crusher, SAG mill, ball mill, screens, cyclones, hydrocyclones, thickeners, filters, filtration, flotation cells, pumps, conveyors, classification, wear, maintenance, reliability, availability, uptime, downtime, throughput, process optimisation, process optimization, debottlenecking, plant performance, commissioning, ramp-up"
Tailings & Waste Management,"tailings, tailings management, thickened tailings, paste, paste thickening, filtered tailings, dry stacking, waste rock, mine waste, residue, storage facility, tailings dam, TSF, seepage, stability, dam breach, rheology, beach slope, dewatering, thickener performance, tailings reprocessing, tailings valorisation, tailings valorization"
Mine-to-Mill & Integration,"mine to mill, mine-to-mill, drill and blast, blasting, fragmentation, blast design, blast optimisation, blast optimization, preconditioning, ore blending, haulage, crushing circuit, integrated value chain, mine planning, production scheduling, grade control, ore control, feed variability, value chain optimisation"
Sensors & Online Measurement,"sensors, online measurement, on-line measurement, online analyser, on-line analyser, online analyzer, on-line analyzer, process tomography, XRF, XRD, NIR, near infrared, LIBS, PGNAA, image analysis, machine vision, particle size analysis, PSD, laser diffraction, acoustic emission, vibration monitoring, instrumentation, process monitoring"
Rock Mechanics & Mining Methods,"rock mechanics, rock mass, ground control, support, reinforcement, underground mining, open pit mining, open-pit mining, caving, block caving, sublevel caving, stoping, longwall, room-and-pillar, pillar design, slope stability, geotechnical, seismicity, induced seismicity"
Coal & Fine Particles,"coal preparation, coal processing, coal cleaning, dense medium, dense medium cyclone, DMC, froth flotation of coal, fine coal, ultrafine coal, ultrafines, dewatering, centrifuge, filtration, briquetting, agglomeration, fine particle processing"
Resource Economics & Policy,"resources policy, mineral economics, mineral policy, commodity markets, price volatility, supply chain, logistics, critical minerals strategy, national strategy, strategic minerals, policy, regulation, permitting, royalties, taxation, sovereignty, geopolitics of critical minerals"
